Zone_ID,Precipitation,Humidity,Temperature,Wind,Num_Fires,Date
1.0,0.2473408,61.242992,16.095072,7.484968,0,20100325
2.0,0.039985567,55.240223,16.12803,6.853963,0,20100325
3.0,0.02753905,68.27795,17.478159,9.667025,0,20100325
4.0,0.043551892,70.68978,16.306684,13.674433,0,20100325
5.0,0.159071,61.619175,15.344336,7.847509,0,20100325
6.0,0.0148425,55.91448,15.615201,9.875543,0,20100325
7.0,0.02068347,67.80426,16.045004,10.4846,0,20100325
8.0,0.023118472,72.23155,14.737335,17.988647,0,20100325
1.0,0.023120552,69.87244,17.551046,7.145835,0,20100326
2.0,0.008360232,50.926044,19.06942,5.945571,0,20100326
3.0,0.0017142601,53.795895,19.845612,10.49584,0,20100326
4.0,0.008307662,54.217957,19.632515,11.118572,0,20100326
5.0,0.005498758,70.36425,16.360088,6.48912,0,20100326
6.0,0.038016293,57.029793,16.655313,7.5425115,0,20100326
7.0,0.011424815,66.14276,16.547804,9.780083,0,20100326
8.0,0.031721223,65.88393,17.46209,10.985182,0,20100326
1.0,0.057831123,69.321976,14.630608,10.042358,0,20100327
2.0,0.0001738793,67.473335,14.008262,12.724421,0,20100327
3.0,0.0,72.49736,15.856083,11.475559,0,20100327
4.0,0.0,72.23293,16.533268,10.34508,0,20100327
5.0,0.014107863,59.20349,17.122107,9.63618,0,20100327
6.0,0.012790495,58.71554,17.51025,12.406735,0,20100327
7.0,0.0026816414,63.10825,16.89014,13.552636,0,20100327
8.0,0.0,68.11036,16.982372,11.810385,0,20100327
1.0,0.9179223,55.43983,13.625917,14.828224,0,20100328
2.0,0.3550823,67.781105,11.36906,17.119087,0,20100328
3.0,1.4718993,79.37421,13.173995,19.004795,0,20100328
4.0,0.31746992,83.00149,12.181897,19.976084,0,20100328
5.0,0.04100759,46.278763,15.699919,13.00973,0,20100328
6.0,0.01654381,51.953827,15.232116,16.865826,0,20100328
7.0,0.9497841,65.04816,14.1046,19.983057,0,20100328
8.0,1.3028568,79.97109,12.3078,23.90503,0,20100328
1.0,0.0,34.65408,17.559114,7.46209,0,20100329
2.0,0.026227158,41.988846,15.984478,8.110014,0,20100329
3.0,0.023527693,55.87367,16.150707,9.380449,0,20100329
4.0,0.00011829598,56.380333,16.294458,8.623676,0,20100329
5.0,0.00054097886,39.772324,17.281433,7.8656573,0,20100329
6.0,0.010586498,41.787632,16.527185,10.750792,0,20100329
7.0,0.013569434,50.432556,16.506388,12.037342,0,20100329
8.0,0.000252894,56.182667,15.811712,10.769265,0,20100329
1.0,0.0,49.42043,18.24056,6.5552216,0,20100330
2.0,0.0,43.37371,18.58992,10.531501,0,20100330
3.0,0.0,54.29858,19.034426,12.669738,0,20100330
4.0,0.0,53.023716,18.38311,16.075258,0,20100330
5.0,0.0,51.431206,16.642595,8.798124,0,20100330
6.0,0.0,49.33091,15.6743965,13.269902,0,20100330
7.0,0.0,58.16839,15.972604,13.788894,0,20100330
8.0,0.0,55.6531,16.422943,19.476414,0,20100330
1.0,0.0,44.623466,14.328826,12.557711,0,20100331
2.0,1.7012022e-05,56.041954,12.488651,17.820675,0,20100331
3.0,0.010343891,69.014694,14.273558,15.26698,0,20100331
4.0,0.0,71.90071,13.675867,13.261776,0,20100331
5.0,0.0,40.19718,16.453396,12.106138,0,20100331
6.0,0.0,45.133434,16.591604,16.863398,0,20100331
7.0,0.0012334341,57.384796,15.120417,18.759594,0,20100331
8.0,0.00018892014,67.82465,14.3995075,16.233175,0,20100331
8.0,0.0,42.669388,15.528842,10.549059,0,20100401
4.0,0.0,42.720505,16.35239,8.049342,0,20100401
7.0,0.0,42.886795,16.388605,8.867126,0,20100401
3.0,0.0,46.52481,16.652674,6.896304,0,20100401
6.0,0.0,41.392704,16.319374,10.554694,1,20100401
2.0,0.0,40.767776,14.914617,10.108304,1,20100401
5.0,0.0,39.454224,16.906174,10.183723,0,20100401
1.0,0.0,36.68201,16.043056,11.963316,1,20100401
1.0,0.0,44.95803,15.126232,8.842971,0,20100402
